language,cell,period,head_lemma,cooccurrence_count
Russian,1pl,2014_2021,говорить,10
Russian,1pl,2014_2021,ответить,7
Russian,1pl,2014_2021,ребенок,7
Russian,1pl,2014_2021,стоять,7
Russian,1pl,2014_2021,остаться,5
Russian,1pl,2014_2021,разный,5
Russian,1pl,2014_2021,сказать,5
Russian,1pl,2014_2021,root,4
Russian,1pl,2014_2021,ветер,4
Russian,1pl,2014_2021,видеть,4
Russian,1pl,2014_2021,дать,4
Russian,1pl,2014_2021,жить,4
Russian,1pl,2014_2021,быть,3
Russian,1pl,2014_2021,верить,3
Russian,1pl,2014_2021,глядеть,3
Russian,1pl,2014_2021,знать,3
Russian,1pl,2014_2021,идти,3
Russian,1pl,2014_2021,любить,3
Russian,1pl,2014_2021,мочь,3
Russian,1pl,2014_2021,рука,3
Russian,1pl,2014_2021,смотреть,3
Russian,1pl,2014_2021,спасти,3
Russian,1pl,2014_2021,бела,2
Russian,1pl,2014_2021,бывать,2
Russian,1pl,2014_2021,важный,2
Russian,1pl,2014_2021,видать,2
Russian,1pl,2014_2021,въезжать,2
Russian,1pl,2014_2021,вырасти,2
Russian,1pl,2014_2021,думать,2
Russian,1pl,2014_2021,казаться,2
Russian,1pl,2014_2021,крутить,2
Russian,1pl,2014_2021,наблюдать,2
Russian,1pl,2014_2021,надо,2
Russian,1pl,2014_2021,написать,2
Russian,1pl,2014_2021,нить,2
Russian,1pl,2014_2021,нужный,2
Russian,1pl,2014_2021,обнять,2
Russian,1pl,2014_2021,оттаять,2
Russian,1pl,2014_2021,пить,2
Russian,1pl,2014_2021,помиловать,2
Russian,1pl,2014_2021,понять,2
Russian,1pl,2014_2021,прийтись,2
Russian,1pl,2014_2021,происходить,2
Russian,1pl,2014_2021,пустота,2
Russian,1pl,2014_2021,разломить,2
Russian,1pl,2014_2021,рассказать,2
Russian,1pl,2014_2021,самозванец,2
Russian,1pl,2014_2021,сводить,2
Russian,1pl,2014_2021,сидеть,2
Russian,1pl,2014_2021,сужден,2
Russian,1pl,2014_2021,существовать,2
Russian,1pl,2014_2021,уносить,2
Russian,1pl,2014_2021,уходить,2
Russian,1pl,2014_2021,учить,2
Russian,1pl,2014_2021,ходить,2
Russian,1pl,2014_2021,что,2
Russian,1pl,2014_2021,артист,1
Russian,1pl,2014_2021,бежать,1
Russian,1pl,2014_2021,беспокойный,1
Russian,1pl,2014_2021,близкий,1
Russian,1pl,2014_2021,больно,1
Russian,1pl,2014_2021,бросить,1
Russian,1pl,2014_2021,ввести,1
Russian,1pl,2014_2021,везти,1
Russian,1pl,2014_2021,велеть,1
Russian,1pl,2014_2021,вестимо,1
Russian,1pl,2014_2021,вечность,1
Russian,1pl,2014_2021,взраститься,1
Russian,1pl,2014_2021,видеться,1
Russian,1pl,2014_2021,вить,1
Russian,1pl,2014_2021,вместе,1
Russian,1pl,2014_2021,все,1
Russian,1pl,2014_2021,вселенная,1
Russian,1pl,2014_2021,выбирать,1
Russian,1pl,2014_2021,выйти,1
Russian,1pl,2014_2021,выходить,1
Russian,1pl,2014_2021,где,1
Russian,1pl,2014_2021,глупый,1
Russian,1pl,2014_2021,гнуть,1
Russian,1pl,2014_2021,гулять,1
Russian,1pl,2014_2021,давать,1
Russian,1pl,2014_2021,дарить,1
Russian,1pl,2014_2021,дергаться,1
Russian,1pl,2014_2021,диковинка,1
Russian,1pl,2014_2021,должен,1
Russian,1pl,2014_2021,достаться,1
Russian,1pl,2014_2021,друг,1
Russian,1pl,2014_2021,душа,1
Russian,1pl,2014_2021,ехать,1
Russian,1pl,2014_2021,жаловать,1
Russian,1pl,2014_2021,женщина,1
Russian,1pl,2014_2021,жертва,1
Russian,1pl,2014_2021,жестокий,1
Russian,1pl,2014_2021,живой,1
Russian,1pl,2014_2021,забыть,1
Russian,1pl,2014_2021,зайти,1
Russian,1pl,2014_2021,занять,1
Russian,1pl,2014_2021,запытать,1
Russian,1pl,2014_2021,застичь,1
Russian,1pl,2014_2021,заходить,1
Russian,1pl,2014_2021,защищать,1
Russian,1pl,2014_2021,здесь,1
Russian,1pl,2014_2021,зоме́тить,1
Russian,1pl,2014_2021,зыркать,1
Russian,1pl,2014_2021,играть,1
Russian,1pl,2014_2021,извлечь,1
Russian,1pl,2014_2021,имя,1
Russian,1pl,2014_2021,искать,1
Russian,1pl,2014_2021,испасть,1
Russian,1pl,2014_2021,исчезнуть,1
Russian,1pl,2014_2021,каждый,1
Russian,1pl,2014_2021,каменей,1
Russian,1pl,2014_2021,кидать,1
Russian,1pl,2014_2021,конец,1
Russian,1pl,2014_2021,корьмить,1
Russian,1pl,2014_2021,котенок,1
Russian,1pl,2014_2021,крыло,1
Russian,1pl,2014_2021,купить,1
Russian,1pl,2014_2021,легкий,1
Russian,1pl,2014_2021,лежать,1
Russian,1pl,2014_2021,лезть,1
Russian,1pl,2014_2021,лист,1
Russian,1pl,2014_2021,ложиться,1
Russian,1pl,2014_2021,ломаться,1
Russian,1pl,2014_2021,маленький,1
Russian,1pl,2014_2021,махать,1
Russian,1pl,2014_2021,молчать,1
Russian,1pl,2014_2021,мы,1
Russian,1pl,2014_2021,народ,1
Russian,1pl,2014_2021,наставить,1
Russian,1pl,2014_2021,начать,1
Russian,1pl,2014_2021,нет,1
Russian,1pl,2014_2021,нива,1
Russian,1pl,2014_2021,носить,1
Russian,1pl,2014_2021,обойти,1
Russian,1pl,2014_2021,объявлять,1
Russian,1pl,2014_2021,оставаться,1
Russian,1pl,2014_2021,оставлять,1
Russian,1pl,2014_2021,отвечать,1
Russian,1pl,2014_2021,отдавать,1
