poem_id,author_id,1sg,1pl,2sg,2pl_vy_polite_singular,2pl_vy_true_plural,2pl,n_total,exposure_n_stanzas,exposure_n_stanza_index_max,exposure_n_tokens,exposure_n_finite_verbs,exposure_n_finite_verbs_excl_imperative,min_stanzas,min_tokens,include_in_offset_models,include_in_fv_offset_models,include_in_fv_excl_imp_offset_models,language_clean,year_int,period3
3027_1,A10,2,0,5,0,2,2,9,2,2.0,102,15,15,2,31,True,True,True,Ukrainian,2021.0,P1_2014_2021
3031_1,A14,0,2,6,0,0,0,8,2,3.0,96,14,14,2,39,True,True,True,Ukrainian,2020.0,P1_2014_2021
3025_1,A10,0,1,9,0,0,0,10,3,4.0,95,14,8,3,26,True,True,True,Ukrainian,2021.0,P1_2014_2021
3029_1,A10,6,1,4,0,0,0,11,4,8.0,75,13,12,4,15,True,True,True,Ukrainian,2022.0,P2_2022_plus
3026_1,A10,13,0,2,0,3,3,18,4,7.0,79,12,9,4,13,True,True,True,Ukrainian,2021.0,P1_2014_2021
3030_1,A14,6,2,3,0,1,1,12,3,5.0,95,13,13,3,6,True,True,True,Ukrainian,2020.0,P1_2014_2021
3032_1,A14,3,22,5,0,0,0,30,5,5.0,260,38,37,5,47,True,True,True,Ukrainian,2020.0,P1_2014_2021
3033_1,A14,2,19,6,0,0,0,27,5,5.0,275,36,35,5,34,True,True,True,Ukrainian,2020.0,P1_2014_2021
3068_1,A14,1,11,3,0,0,0,15,3,4.0,50,8,6,3,7,True,True,True,Ukrainian,2020.0,P1_2014_2021
3067_1,A14,0,1,0,0,1,1,2,1,1.0,10,1,1,1,10,True,True,True,Ukrainian,2020.0,P1_2014_2021
3028_1,A10,5,2,33,0,1,1,41,10,12.0,339,53,50,10,8,True,True,True,Ukrainian,2022.0,P2_2022_plus
3072_1,A14,14,10,9,0,0,0,33,8,8.0,195,28,27,8,5,True,True,True,Ukrainian,2020.0,P1_2014_2021
3069_1,A14,4,2,0,0,0,0,6,4,8.0,83,9,9,4,8,True,True,True,Ukrainian,2020.0,P1_2014_2021
3071_1,A14,14,3,3,0,0,0,20,9,10.0,355,37,35,9,12,True,True,True,Ukrainian,2020.0,P1_2014_2021
UP10_1,A25,0,1,0,0,0,0,1,1,1.0,14,1,1,1,14,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP1006_1,A02,0,0,2,0,1,1,3,1,1.0,22,1,0,1,22,True,True,False,Russian,2022.0,P2_2022_plus
UP101_1,A25,0,0,1,0,0,0,1,1,1.0,5,0,0,1,5,True,False,False,Ukrainian,2014.0,P1_2014_2021
3104_1,A04,2,2,2,0,0,0,6,4,4.0,76,6,6,4,16,True,True,True,Ukrainian,2024.0,P2_2022_plus
UP1010_1,A05,1,0,0,0,0,0,1,1,1.0,17,1,1,1,17,True,True,True,Russian,2022.0,P2_2022_plus
3105_1,A04,7,2,3,0,0,0,12,1,1.0,144,14,14,1,144,True,True,True,Ukrainian,2024.0,P2_2022_plus
UP1015_1,A02,2,0,1,0,0,0,3,1,1.0,25,0,0,1,25,True,False,False,Russian,2022.0,P2_2022_plus
UP1003_1,A31,0,4,0,0,1,1,5,3,7.0,53,3,3,3,15,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1019_1,A05,0,0,6,0,1,1,7,1,1.0,49,1,1,1,49,True,True,True,Russian,2022.0,P2_2022_plus
UP1013_1,A18,1,10,1,0,0,0,12,1,1.0,146,11,11,1,146,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1014_1,A31,3,0,0,0,0,0,3,2,6.0,39,4,4,2,19,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1018_1,A05,0,3,7,0,0,0,10,3,3.0,136,9,7,3,44,True,True,True,Russian,2022.0,P2_2022_plus
UP1023_1,A28,0,2,0,0,0,0,2,1,1.0,68,7,7,1,68,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP102_1,A05,0,0,5,0,0,0,5,1,1.0,118,15,7,1,118,True,True,True,Russian,2014.0,P1_2014_2021
UP1023b_1,A28,5,0,1,0,0,0,6,1,1.0,43,9,8,1,43,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1023c_1,A28,6,0,0,0,0,0,6,1,1.0,54,9,9,1,54,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1017_1,A05,4,2,4,0,0,0,10,4,5.0,173,7,5,4,37,True,True,True,Russian,2022.0,P2_2022_plus
UP1023a_1,A28,5,0,0,0,0,0,5,1,1.0,88,10,10,1,88,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1028_1,A05,0,0,1,0,0,0,1,1,1.0,61,2,1,1,61,True,True,True,Russian,2022.0,P2_2022_plus
UP1008_1,A05,0,0,13,0,0,0,13,3,4.0,146,6,4,3,47,True,True,True,Russian,2022.0,P2_2022_plus
UP1032_4,A14,0,0,1,0,0,0,1,1,1.0,13,1,1,1,13,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP104_2,A25,0,2,0,0,0,0,2,1,1.0,14,1,1,1,14,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP1027_1,A05,0,0,3,0,0,0,3,1,1.0,76,8,8,1,76,True,True,True,Russian,2022.0,P2_2022_plus
UP1042_1,A18,1,0,0,0,0,0,1,1,1.0,82,17,17,1,82,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1039_1,A05,0,0,2,0,0,0,2,1,1.0,126,2,1,1,126,True,True,True,Russian,2022.0,P2_2022_plus
UP1040_1,A05,0,1,0,0,0,0,1,1,1.0,79,0,0,1,79,True,False,False,Russian,2022.0,P2_2022_plus
UP1038_1,A05,0,1,2,0,0,0,3,2,3.0,47,1,0,2,21,True,True,False,Russian,2022.0,P2_2022_plus
UP1054_1,A05,1,0,10,0,0,0,11,2,2.0,54,9,9,2,24,True,True,True,Russian,2022.0,P2_2022_plus
UP1053_1,A05,1,0,1,0,0,0,2,1,1.0,91,2,1,1,91,True,True,True,Russian,2022.0,P2_2022_plus
UP1046_1,A20,8,0,7,0,0,0,15,1,1.0,119,16,12,1,119,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1057_1,A16,3,0,0,0,0,0,3,1,1.0,52,6,6,1,52,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1065_1,A05,0,0,0,0,1,1,1,1,1.0,13,2,2,1,13,True,True,True,Russian,2022.0,P2_2022_plus
UP105_1,A05,9,0,4,0,0,0,13,4,4.0,90,3,3,4,20,True,True,True,Russian,2014.0,P1_2014_2021
UP1052_1,A05,0,2,4,0,0,0,6,4,6.0,114,5,4,4,27,True,True,True,Russian,2022.0,P2_2022_plus
UP1024_1,A31,0,4,1,0,13,13,18,9,11.0,198,18,16,9,19,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1073_1,A01,2,0,1,0,0,0,3,1,1.0,32,2,2,1,32,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1069_1,A11,0,9,1,0,0,0,10,1,1.0,94,5,5,1,94,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1066_1,A05,0,4,2,0,5,5,11,3,4.0,104,8,3,3,32,True,True,True,Russian,2022.0,P2_2022_plus
UP1055_1,A14,4,6,0,0,0,0,10,4,7.0,118,13,13,4,23,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1032_6,A14,1,5,4,0,0,0,10,8,16.0,108,13,10,8,5,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1061_1,A28,6,4,0,0,0,0,10,1,1.0,217,31,31,1,217,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1074_1,A01,0,1,0,0,0,0,1,1,1.0,93,12,12,1,93,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP107_1,A05,0,0,3,0,0,0,3,2,5.0,47,4,1,2,19,True,True,True,Russian,2014.0,P1_2014_2021
UP1067_1,A05,1,0,1,0,0,0,2,2,4.0,64,1,1,2,30,True,True,True,Russian,2022.0,P2_2022_plus
UP1082_1,A18,0,1,0,0,2,2,3,1,1.0,92,8,7,1,92,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1072_1,A31,3,1,4,0,0,0,8,4,8.0,83,7,7,4,18,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1084_1,A24,0,5,0,0,0,0,5,3,6.0,31,8,8,3,5,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1078_1,A05,6,1,3,0,0,0,10,4,5.0,113,4,3,4,28,True,True,True,Russian,2022.0,P2_2022_plus
UP1089_3,A05,0,5,0,0,0,0,5,1,1.0,36,1,1,1,36,True,True,True,Russian,2022.0,P2_2022_plus
UP1089_2,A05,0,6,0,0,0,0,6,2,2.0,65,6,5,2,31,True,True,True,Russian,2022.0,P2_2022_plus
UP1076_1,A05,0,0,5,0,4,4,9,3,5.0,116,10,5,3,36,True,True,True,Russian,2022.0,P2_2022_plus
UP109_1,A25,2,0,0,0,1,1,3,1,1.0,16,1,1,1,16,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP1077_1,A05,4,0,0,0,19,19,23,4,4.0,138,13,4,4,29,True,True,True,Russian,2022.0,P2_2022_plus
UP1086_1,A01,0,0,10,0,1,1,11,1,1.0,83,13,12,1,83,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1083_1,A24,0,0,3,0,4,4,7,2,4.0,58,11,9,2,25,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1099_1,A18,3,1,1,0,4,4,9,1,1.0,56,10,5,1,56,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP108_1,A24,9,1,0,0,0,0,10,6,9.0,150,17,17,6,6,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP1091_1,A18,0,8,0,0,0,0,8,1,1.0,110,13,13,1,110,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP110_1,A05,0,1,0,0,0,0,1,1,1.0,26,1,1,1,26,True,True,True,Russian,2014.0,P1_2014_2021
UP1096_1,A18,0,2,1,0,0,0,3,1,1.0,121,18,18,1,121,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1092_1,A11,0,10,1,0,0,0,11,1,1.0,107,5,5,1,107,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1103_1,A18,0,1,1,0,0,0,2,1,1.0,100,18,17,1,100,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1100_1,A17,1,0,0,0,0,0,1,1,1.0,138,19,17,1,138,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1090_1,A05,0,2,0,0,0,0,2,2,4.0,79,3,1,2,36,True,True,True,Russian,2022.0,P2_2022_plus
UP1107_1,A18,0,0,1,0,0,0,1,1,1.0,89,10,10,1,89,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP111_1,A05,0,3,0,0,0,0,3,3,3.0,22,5,0,3,7,True,True,False,Russian,2014.0,P1_2014_2021
UP1080_1,A14,6,3,0,0,0,0,9,5,15.0,84,9,9,5,5,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1088_1,A05,6,6,7,0,0,0,19,6,7.0,257,0,0,6,37,True,False,False,Russian,2022.0,P2_2022_plus
UP1111_1,A18,0,0,2,0,0,0,2,1,1.0,138,6,6,1,138,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP113_1,A05,1,1,0,0,0,0,2,1,1.0,51,2,1,1,51,True,True,True,Russian,2014.0,P1_2014_2021
UP1131_1,A30,0,0,2,0,0,0,2,1,1.0,37,6,6,1,37,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1129_1,A18,0,0,5,0,0,0,5,1,1.0,77,11,7,1,77,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1124_1,A18,5,2,0,0,0,0,7,1,1.0,157,30,30,1,157,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP112_1,A05,6,4,10,0,0,0,20,1,1.0,135,17,12,1,135,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP1131_2,A30,0,11,2,0,0,0,13,1,1.0,59,12,12,1,59,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1125_1,A18,3,0,1,0,0,0,4,1,1.0,108,14,14,1,108,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1131_3,A30,0,4,2,0,0,0,6,1,1.0,54,8,8,1,54,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1143_1,A01,2,0,2,0,0,0,4,1,1.0,53,0,0,1,53,True,False,False,Russian,2022.0,P2_2022_plus
UP1101_1,A20,5,6,0,0,0,0,11,1,1.0,106,59,55,1,106,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1130_1,A15,0,0,13,0,0,0,13,1,1.0,174,19,16,1,174,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1138_1,A01,3,7,4,0,0,0,14,1,1.0,91,11,8,1,91,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1142_1,A30,0,6,0,0,0,0,6,1,1.0,181,24,24,1,181,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1145_1,A01,7,0,11,0,0,0,18,1,1.0,89,10,10,1,89,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1162_1,A11,1,1,1,0,0,0,3,1,1.0,57,3,3,1,57,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1173_1,A11,1,0,0,0,0,0,1,1,1.0,24,4,4,1,24,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1155_1,A30,0,2,3,0,3,3,8,3,5.0,93,8,8,3,30,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1172_1,A11,0,0,1,0,0,0,1,1,1.0,91,11,11,1,91,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1146_1,A30,0,1,10,0,0,0,11,1,1.0,171,44,44,1,171,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1164_1,A20,0,3,7,0,0,0,10,4,6.0,73,19,16,4,11,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1177_1,A11,1,4,4,0,0,0,9,1,1.0,90,7,6,1,90,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1175_1,A11,0,0,2,0,0,0,2,1,1.0,117,13,13,1,117,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1184_1,A11,3,0,2,0,0,0,5,1,3.0,49,7,7,1,49,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1180_1,A11,6,7,6,0,0,0,19,2,2.0,152,21,20,2,3,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1163_1,A11,6,3,6,0,0,0,15,1,1.0,172,22,20,1,172,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1185_1,A11,0,1,5,0,0,0,6,1,1.0,129,18,16,1,129,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1179_1,A11,3,0,13,0,0,0,16,5,8.0,126,17,17,5,4,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1187_1,A11,1,1,4,0,0,0,6,1,1.0,60,8,6,1,60,True,True,True,Ukrainian,2017.0,P1_2014_2021
UP1188_1,A11,1,0,3,0,0,0,4,1,2.0,101,8,8,1,101,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP119_1,A05,0,2,0,0,2,2,4,2,2.0,53,0,0,2,25,True,False,False,Russian,2014.0,P1_2014_2021
UP1183_1,A11,4,0,3,0,1,1,8,3,10.0,30,5,3,3,6,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1174_1,A11,0,3,3,0,1,1,7,2,5.0,187,17,15,2,84,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP12_1,A25,3,0,1,0,0,0,4,1,1.0,31,2,2,1,31,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP1193_1,A11,0,2,1,0,0,0,3,1,1.0,92,7,7,1,92,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1191_2,A11,0,1,0,0,0,0,1,1,1.0,40,9,9,1,40,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1186_1,A11,0,0,3,0,0,0,3,3,9.0,49,7,5,3,14,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1181_1,A11,8,1,9,0,0,0,18,8,8.0,223,30,27,8,18,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1192_1,A11,9,1,7,0,0,0,17,1,1.0,139,17,14,1,139,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1195_1,A11,1,0,5,0,0,0,6,1,1.0,111,12,11,1,111,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1189_1,A11,3,5,6,0,0,0,14,1,1.0,165,27,25,1,165,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1194_1,A11,1,2,1,0,0,0,4,1,1.0,144,21,21,1,144,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1203_1,A29,3,2,1,0,1,1,7,1,1.0,38,7,6,1,38,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1203_6,A29,0,0,0,0,1,1,1,1,1.0,43,5,4,1,43,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1203_5,A29,2,1,0,0,1,1,4,1,1.0,37,5,4,1,37,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1203_4,A29,1,0,1,0,0,0,2,1,1.0,35,7,7,1,35,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1203_7,A29,0,0,0,0,2,2,2,1,1.0,37,6,5,1,37,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1190_1,A11,0,0,2,0,0,0,2,2,4.0,74,7,7,2,34,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1203_8,A29,2,1,0,0,1,1,4,1,1.0,35,6,5,1,35,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1203_9,A29,0,2,0,0,0,0,2,1,1.0,37,4,4,1,37,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1198_1,A17,0,4,0,0,0,0,4,4,5.0,74,5,5,4,10,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1203_3,A29,2,5,0,0,0,0,7,2,2.0,62,5,5,2,29,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1203_10,A29,1,0,2,0,0,0,3,1,1.0,34,4,3,1,34,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1201_1,A24,4,4,5,0,2,2,15,7,8.0,168,26,26,7,11,True,True,True,Ukrainian,2022.0,P2_2022_plus
UP1217_1,A01,2,0,0,0,0,0,2,1,1.0,23,1,1,1,23,True,True,True,Russian,2018.0,P1_2014_2021
UP122_2,A25,2,0,0,0,0,0,2,1,1.0,14,3,3,1,14,True,True,True,Ukrainian,2014.0,P1_2014_2021
UP121_1,A21,2,0,1,0,0,0,3,1,1.0,166,3,3,1,166,True,True,True,Russian,2014.0,P1_2014_2021
UP1218_1,A01,0,2,4,0,1,1,7,1,1.0,59,7,6,1,59,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1222_1,A01,1,2,1,0,0,0,4,1,1.0,69,10,10,1,69,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1223_1,A01,0,0,3,0,0,0,3,1,1.0,54,6,6,1,54,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_4,A03,0,3,0,0,0,0,3,1,1.0,31,5,5,1,31,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1225_1,A03,10,2,7,0,0,0,19,1,1.0,121,2,2,1,121,True,True,True,Russian,2018.0,P1_2014_2021
UP1219_1,A01,13,4,2,0,6,6,25,1,1.0,205,40,38,1,205,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_8,A03,1,1,0,0,0,0,2,1,1.0,62,8,8,1,62,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_5,A03,0,1,0,0,0,0,1,1,1.0,54,5,5,1,54,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_7,A03,0,1,0,0,0,0,1,1,1.0,50,3,3,1,50,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_10,A03,1,4,0,0,1,1,6,1,1.0,43,10,9,1,43,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_12,A03,0,0,1,0,0,0,1,1,1.0,16,5,5,1,16,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_9,A03,0,3,0,0,0,0,3,1,1.0,36,2,2,1,36,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_11,A03,1,0,0,0,0,0,1,1,1.0,41,5,5,1,41,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_17,A03,0,3,0,0,0,0,3,1,1.0,47,7,7,1,47,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_16,A03,0,3,0,0,0,0,3,1,1.0,52,7,7,1,52,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1220_1,A01,13,7,5,0,2,2,27,1,1.0,193,7,6,1,193,True,True,True,Russian,2018.0,P1_2014_2021
UP1230_14,A03,1,0,1,0,0,0,2,1,1.0,35,7,7,1,35,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_24,A03,4,1,0,0,0,0,5,1,1.0,47,8,8,1,47,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_20,A03,1,0,0,0,0,0,1,1,1.0,38,8,8,1,38,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_22,A03,0,3,0,0,0,0,3,1,1.0,73,11,11,1,73,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_18,A03,1,1,0,0,2,2,4,1,1.0,46,9,7,1,46,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_26,A03,0,0,2,0,0,0,2,1,1.0,24,3,1,1,24,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_28,A03,1,2,0,0,1,1,4,1,1.0,61,9,9,1,61,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_25,A03,0,1,0,0,0,0,1,1,1.0,40,5,5,1,40,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_27,A03,3,1,0,0,0,0,4,1,1.0,45,4,4,1,45,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_19,A03,4,1,3,0,0,0,8,1,1.0,75,18,16,1,75,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_23,A03,1,2,0,0,0,0,3,1,1.0,83,14,14,1,83,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1221_1,A01,6,3,12,0,8,8,29,1,1.0,174,3,3,1,174,True,True,True,Russian,2018.0,P1_2014_2021
UP1230_30,A03,0,0,1,0,0,0,1,1,1.0,101,18,18,1,101,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_29,A03,4,1,0,0,0,0,5,1,1.0,105,22,22,1,105,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_31,A03,1,0,0,0,0,0,1,1,1.0,71,10,10,1,71,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_32,A03,5,0,1,0,0,0,6,1,1.0,95,22,21,1,95,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1230_33,A03,7,0,0,0,0,0,7,1,1.0,98,17,17,1,98,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1238_1,A03,0,0,3,0,0,0,3,1,1.0,73,7,6,1,73,True,True,True,Ukrainian,2018.0,P1_2014_2021
UP1237_1,A03,2,2,4,0,0,0,8,1,1.0,64,8,7,1,64,True,True,True,Ukrainian,2018.0,P1_2014_2021
